,,папка для загрузки фото: ,фото местность артисты,,,
артист,локация,insta,vk,tg,soundcloud,bandcamp
ВСЕСЛАВЪ,Санкт-Петербург,https://www.instagram.com/sevostyanikhin/,https://vk.com/vseslovemusic,,https://soundcloud.com/kontext,
AEVA,Лондон / Берлин,https://www.instagram.com/aeva4eva/,,,https://soundcloud.com/aeva-sc,https://aeva.bandcamp.com
Alterleo,Москва,https://www.instagram.com/alterleo/,,https://t.me/alterleo,https://soundcloud.com/alterleo,https://alterleo.bandcamp.com
Alina Valentina ,Амстердам,https://www.instagram.com/alinavalentinaja/,,,,
Anderdog,Электросталь,https://instagram.com/rynisdizhov,https://vk.com/anderdogmusic,https://t.me/anderdogmusic,https://soundcloud.com/rynisdizhov,
Andrey Leto,Электросталь,,,,,
Anton Take ,Москва,https://instagram.com/antontake,https://vk.com/a.take,,https://soundcloud.com/antontake,
Ambidextrous,Москва,https://www.instagram.com/organickloud/,https://vk.com/nickzavriev,https://t.me/toomuchambient,https://soundcloud.com/ambidextrous,https://ambidextrous.bandcamp.com/
Andrei Rasputin,Москва,https://www.instagram.com/andreyrasputin82/,https://vk.com/andrey_rasputin,,,
Dessin Bizarre,Москва,https://www.instagram.com/dessin.bizarre/,https://vk.com/dessinbizarreindie,t.me/dessinbizarre,,https://dessinbizarre.bandcamp.com/
dj_balanov,Москва,,https://vk.com/dj_balanov,,,
Disco Demolition Knight ,Москва,,,,https://soundcloud.com/disco-demolition-knight,
DJ HeadSick,Мурманск / Москва,https://www.instagram.com/paitaworld/,https://vk.com/prodelkibolnoygolovi,https://t.me/paitaworld,https://soundcloud.com/prodelkibolnoygolovi,
Dubree,Черноголовка,https://www.instagram.com/dubreevibes/,https://vk.com/dubreevibes,https://t.me/dubreevibes,https://soundcloud.com/dubree,https://dubree.bandcamp.com/
Fedor Vetkalov,Москва,https://www.instagram.com/fedorvetkalov/,https://vk.com/fedorvetkalov,https://t.me/fedorsynthman,,https://vetkalov.bandcamp.com
GNOOMES,Словения,https://www.instagram.com/gnoomes_official/,https://vk.com/gnooomes,,,https://gnoomes.bandcamp.com/
HAJIME KOJIRO,Хёго / Москва,https://www.instagram.com/hajimekojiro/,https://vk.com/hajimekojiro,https://t.me/hajimekojiro,https://soundcloud.com/hajimekojiro,
Half Moon Glass ,Пермь,,https://vk.com/halfmoonglass?,,,
H.Ruine,Москва,https://www.instagram.com/h.ruine/,,,,
Ilya Orange,Москва,https://www.instagram.com/ilyaorange/,https://vk.com/ilya_orange,,https://soundcloud.com/ilyaorange,
Ilya Rasskazov,Москва,https://www.instagram.com/ilyarasskazov/,https://vk.com/rasskazov,https://t.me/headzfm,,
KIKOK,Пермь,https://www.instagram.com/kikok_audio/,https://vk.com/kikok_audio,https://t.me/KIKOKaudio,,https://kikok.bandcamp.com/album/speedway
Kisser,Москва,https://www.instagram.com/kisseronetwothreefour/,https://vk.com/kisserone,https://t.me/namekisser,https://soundcloud.com/kisser-1,
Ko+Ma,Москва,https://www.instagram.com/ko_plus_ma/,https://vk.com/koplusma,https://t.me/koplusma,https://soundcloud.com/kplusm,
Kokokei,Москва,https://www.instagram.com/kostyakokokei/,https://vk.com/kokokei_music,https://t.me/kokokei_dnevnik,https://soundcloud.com/kokokei,
Lyudmila Severtseva,Москва,https://www.instagram.com/lyudmilasevertseva13/,https://vk.com/lyudmilasevertseva,https://t.me/lyudmilamusic,https://soundcloud.com/lyudmilasevertseva,
Man As Island ,Санкт-Петербург,,https://vk.com/manasisland,,,
Max Ananyev,Санкт-Петербург,https://www.instagram.com/maxananyev/,https://vk.com/amvimusic,,https://soundcloud.com/amvimusic,
Microdog (Mi Croevkhas),Москва / Белград,https://instagram.com/different_fashion_sound,https://vk.com/id43186173,,https://soundcloud.com/mi-croevkhas,
MIKHAIL KIREEV,Санкт-Петербург,https://www.instagram.com/mikhail_kireev__electralchemy/,https://vk.com/mikhail_kireev_electralchemy,https://t.me/birthofsound,,
Morakh,Подольск,https://instagram.com/valera_emelyanov_,https://vk.com/morakhmusic,https://t.me/morakhmusic,https://soundcloud.com/morakhmusic,
Morphtalbes,Тюмень,https://www.instagram.com/morphtables/,https://vk.com/morphtables,https://t.me/morphtables_archive,https://soundcloud.com/morphtables,https://morphtables.bandcamp.com
Ne Tvoy Drug,Москва / Белград,https://www.instagram.com/netvoydryg/,https://vk.com/nicheydrug,,https://soundcloud.com/netvoydrug,
nooMoon,Москва,https://www.instagram.com/nadya_noomoon/,https://vk.com/nadya_noomoon,https://t.me/nmn_universe,,
NoRules,Ногинск,https://www.instagram.com/konstantinkrasavin/,https://vk.com/no_rules,https://t.me/norules170,https://soundcloud.com/no_rules,
Overalone ,Пермь,https://www.instagram.com/overalone.official/,https://vk.com/overalone.official,,,
Produsserka,Касимов,https://www.instagram.com/produsserka/,https://vk.com/produsserka?from=search,https://t.me/produsserka,,
Raumskaya,,,https://vk.com/raumskayamusic,t.me/raumskayamusic,,
Raveny,Санкт-Петербург,https://www.instagram.com/ravenymusic/,https://vk.com/ravenymusic,,https://soundcloud.com/ravenymusic,
Sasha Kurinskiy,Москва,https://www.instagram.com/ghoul_patrool/,https://vk.com/raw_vatrushki,t.me/DrVinyI,,
soft swamp,Пермь,https://www.instagram.com/johny_vampire/,,,,
Vvvedenskaya,Москва / Нью-Йорк,—,—,—,https://soundcloud.com/julia-vvedenskaya,
Yella Gin,Тюмень,https://www.instagram.com/yella_gin/,https://vk.com/yellagin,,https://soundcloud.com/yellagin,
